Instance,Income
111994,26387.2693854989
111995,19796.8648792656
111996,43718.1070525242
111997,102175.8198672020
111998,17882.8400371935
111999,76502.8212472055
112000,87093.5350343874
112001,52717.6902181123
112002,24112.6986644003
112003,88431.6571807197
112004,16664.5444151906
112005,166899.6349249950
112006,6994.2467084294
112007,111588.2508205270
112008,261652.3032996790
112009,67525.0100126741
112010,47854.4719322217
112011,15490.4282515320
112012,25773.5580196470
112013,26597.8292024410
112014,118403.1531061800
112015,35994.9455707090
112016,44060.3848993046
112017,17382.9447678188
112018,161147.7270892130
112019,60100.9027876736
112020,17401.7888641605
112021,14878.5496982231
112022,88066.9081241569
112023,49326.7522024903
112024,10009.5734758207
112025,79825.5535325699
112026,54235.9453382887
112027,56408.6014293714
112028,24496.7112750841
112029,55975.9624972378
112030,157866.5601064640
112031,211021.3210757080
112032,213662.8476186140
112033,89607.6968488376
112034,193916.9808343870
112035,95858.9099837321
112036,188291.5803788210
112037,122662.2516559990
112038,222330.3873518110
112039,46246.3483577342
112040,60546.8028421671
112041,45240.1359161915
112042,28817.6304835835
112043,45250.9948836161
112044,20490.8112255962
112045,26082.4878099099
112046,257224.4530363870
112047,20106.6946418841
112048,11800.1081560857
112049,96361.0296122795
112050,34306.8938675453
112051,59158.8454415561
112052,123451.0494666710
112053,195631.0667818940
112054,59203.2616879654
112055,16681.9365258099
112056,87199.0486252997
112057,27329.6013202714
112058,47720.9128276671
112059,29044.4550279783
112060,248154.9697360310
112061,157056.0074171350
112062,218059.6188302330
112063,59376.6062769521
112064,23023.7314681808
112065,51863.5686255793
112066,18433.7114826646
112067,108427.2634798990
112068,74293.3300068755
112069,251812.0367510230
112070,348900.9790298870
112071,63587.0265443796
112072,79888.8769208692
112073,28296.1585752821
112074,19356.2078957344
112075,18895.1688132001
112076,108401.5309944080
112077,1046773.8118588000
112078,14023.5359295367
112079,172896.4599660130
112080,70869.7590188134
112081,827246.4333810120
112082,20721.5802718224
112083,22192.2437025825
112084,24761.7236474354
112085,40164.4280346326
112086,19633.6531132699
112087,62270.3397153272
112088,109930.1667134330
112089,39944.1390322525
112090,185591.3946392290
112091,21799.3758910663
112092,20146.5864262065
112093,94166.2356337091
112094,15392.5344900181
112095,22925.2471509514
112096,87688.4484358670
112097,20149.7692635315
112098,16646.8559661375
112099,27009.7088945326
112100,27311.9382997383
112101,204222.9598277020
112102,17544.6432653244
112103,134131.4709792080
112104,68249.3528696081
112105,42956.3050740944
112106,99056.3469923934
